Pressione, Can A, Raccolta #3
Tempo ( s )	Pressione ( kPa )
0,0000	-0,01465
0,1000	-0,01465
0,2000	-0,01465
0,3000	-0,01465
0,4000	-0,00977
0,5000	-0,00977
0,6000	-0,01465
0,7000	-0,00977
0,8000	0,00000
0,9000	-0,01465
1,0000	-0,01465
1,1000	-0,00977
1,2000	-0,01465
1,3000	-0,00977
1,4000	-0,01465
1,5000	-0,01465
1,6000	-0,01465
1,7000	-0,00977
1,8000	-0,01465
1,9000	-0,01465
2,0000	-0,01465
2,1000	-0,01465
2,2000	-0,01465
2,3000	-0,01465
2,4000	-0,01465
2,5000	-0,01953
2,6000	-0,01465
2,7000	-0,01465
2,8000	-0,01465
2,9000	-0,01465
3,0000	-0,01465
3,1000	-0,01953
3,2000	-0,01465
3,3000	-0,01953
3,4000	-0,01465
3,5000	-0,01953
3,6000	-0,01465
3,7000	-0,01953
3,8000	-0,01465
3,9000	-0,01953
4,0000	-0,01953
4,1000	-0,01953
4,2000	-0,01953
4,3000	-0,02441
4,4000	-0,01953
4,5000	-0,01953
4,6000	-0,02441
4,7000	-0,02930
4,8000	-0,01953
4,9000	-0,01953
5,0000	-0,02441
5,1000	0,00000
5,2000	0,03906
5,3000	0,15625
5,4000	0,31739
5,5000	0,47853
5,6000	0,68850
5,7000	0,89846
5,8000	1,17679
5,9000	1,19144
6,0000	1,19144
6,1000	1,17679
6,2000	1,17191
6,3000	1,16214
6,4000	1,15726
6,5000	1,14750
6,6000	1,13773
6,7000	1,13285
6,8000	1,13285
6,9000	1,12308
7,0000	1,11820
7,1000	1,11332
7,2000	1,10843
7,3000	1,10355
7,4000	1,09867
7,5000	1,09378
7,6000	1,09378
7,7000	1,09378
7,8000	1,07913
7,9000	1,08402
8,0000	1,07913
8,1000	1,07425
8,2000	1,06937
8,3000	1,06449
8,4000	1,06449
8,5000	1,05960
8,6000	1,05960
8,7000	1,05472
8,8000	1,05472
8,9000	1,04984
9,0000	1,04984
9,1000	1,04495
9,2000	1,04495
9,3000	1,04007
9,4000	1,04007
9,5000	1,03519
9,6000	1,03519
9,7000	1,03030
9,8000	1,03030
9,9000	1,02542
10,0000	1,02542
10,1000	1,02542
10,2000	1,02054
10,3000	1,01566
10,4000	1,01566
10,5000	1,01566
10,6000	1,01077
10,7000	1,01566
10,8000	1,00101
10,9000	1,00589
11,0000	1,00101
11,1000	0,99612
11,2000	0,99612
11,3000	0,99612
11,4000	0,99612
11,5000	0,99124
11,6000	0,99124
11,7000	0,98636
11,8000	0,98636
11,9000	0,98636
12,0000	0,98148
12,1000	0,97659
12,2000	0,97659
12,3000	0,97659
12,4000	0,97171
12,5000	0,96683
12,6000	0,97171
12,7000	0,97659
12,8000	0,97659
12,9000	0,97659
13,0000	0,97659
13,1000	0,97171
13,2000	0,96683
13,3000	0,96683
13,4000	0,96683
13,5000	0,96683
13,6000	0,96194
13,7000	0,96194
13,8000	0,96194
13,9000	0,96194
14,0000	0,95706
14,1000	0,95706
