Tempo ( s )	Pressione ( kPa )
0.0000	-0.01953
0.1000	-0.01953
0.2000	-0.01953
0.3000	-0.01953
0.4000	-0.01953
0.5000	-0.01953
0.6000	-0.01953
0.7000	-0.01953
0.8000	-0.01953
0.9000	-0.01953
1.0000	-0.01953
1.1000	-0.01953
1.2000	-0.01465
1.3000	-0.01953
1.4000	-0.01465
1.5000	-0.01953
1.6000	-0.01953
1.7000	-0.01953
1.8000	-0.01953
1.9000	-0.01953
2.0000	-0.01465
2.1000	-0.01953
2.2000	-0.01465
2.3000	-0.01953
2.4000	-0.01953
2.5000	-0.01953
2.6000	-0.01953
2.7000	-0.01953
2.8000	-0.01953
2.9000	-0.01953
3.0000	-0.01953
3.1000	-0.01953
3.2000	-0.01953
3.3000	-0.01953
3.4000	-0.01953
3.5000	-0.01953
3.6000	-0.01953
3.7000	-0.01953
3.8000	-0.01953
3.9000	-0.01953
4.0000	-0.01953
4.1000	-0.02441
4.2000	-0.01953
4.3000	-0.02441
4.4000	-0.01953
4.5000	-0.01953
4.6000	-0.01953
4.7000	-0.01953
4.8000	-0.01953
4.9000	0.00977
5.0000	0.15625
5.1000	0.35157
5.2000	0.66897
5.3000	1.00589
5.4000	1.25004
5.5000	1.25004
5.6000	1.23539
5.7000	1.22074
5.8000	1.21097
5.9000	1.20609
6.0000	1.19633
6.1000	1.19144
6.2000	1.18656
6.3000	1.17679
6.4000	1.17191
6.5000	1.16214
6.6000	1.15726
6.7000	1.15238
6.8000	1.14750
6.9000	1.13773
7.0000	1.13773
7.1000	1.13285
7.2000	1.12796
7.3000	1.11820
7.4000	1.11820
7.5000	1.11332
7.6000	1.11332
7.7000	1.10355
7.8000	1.09867
7.9000	1.09378
8.0000	1.09378
8.1000	1.09378
8.2000	1.08890
8.3000	1.08402
8.4000	1.07913
8.5000	1.07425
8.6000	1.07425
8.7000	1.07425
8.8000	1.06937
8.9000	1.06449
9.0000	1.06449
9.1000	1.06449
9.2000	1.06449
9.3000	1.05960
9.4000	1.05472
9.5000	1.05472
9.6000	1.05472
9.7000	1.04984
9.8000	1.04984
9.9000	1.04495
10.0000	1.04495
10.1000	1.04007
10.2000	1.04007
10.3000	1.03519
10.4000	1.04007
10.5000	1.03030
10.6000	1.03030
10.7000	1.03030
10.8000	1.03030
10.9000	1.02542
11.0000	1.02542
11.1000	1.02542
11.2000	1.02542
11.3000	1.02542
11.4000	1.02054
11.5000	1.01566
11.6000	1.02054
11.7000	1.01566
11.8000	1.01566
11.9000	1.01566
12.0000	1.01077
12.1000	1.01566
12.2000	1.01566
12.3000	1.00589
12.4000	1.01077
12.5000	1.00589
12.6000	1.00101
12.7000	1.00101
12.8000	1.00101
12.9000	0.99612
13.0000	1.00101
13.1000	0.99612
13.2000	0.99612
13.3000	0.99612
13.4000	0.99612
13.5000	0.99612
13.6000	0.99612
13.7000	0.99612
13.8000	0.99612
13.9000	0.99124
14.0000	0.99612
14.1000	0.98636
14.2000	0.99124
14.3000	0.98636
14.4000	0.98636
14.5000	0.98636
14.6000	0.99124
14.7000	0.98636
14.8000	0.98148
14.9000	0.98636
15.0000	0.98148
15.1000	0.98148
15.2000	0.98148
15.3000	0.97659
15.4000	0.98148
15.5000	0.98148
15.6000	0.98148
15.7000	0.97659
15.8000	0.98148
15.9000	0.97659
16.0000	0.97659
16.1000	0.97659
16.2000	0.97659
16.3000	0.97659
16.4000	0.97659
16.5000	0.97659
16.6000	0.97659
16.7000	0.97659
16.8000	0.97659
16.9000	0.96683
17.0000	0.97659
17.1000	0.96683
17.2000	0.97659
17.3000	0.96683
17.4000	0.97171
17.5000	0.96683
17.6000	0.97171
17.7000	0.96683
17.8000	0.96683
17.9000	0.96683
18.0000	0.96683
18.1000	0.96683
18.2000	0.96683
18.3000	0.96683
18.4000	0.96194
18.5000	0.96194
18.6000	0.96194
18.7000	0.96683
18.8000	0.96194
18.9000	0.96194
19.0000	0.96194
19.1000	0.95706
19.2000	0.96194
19.3000	0.95706
19.4000	0.96194
19.5000	0.95706
19.6000	0.96194
19.7000	0.95706
19.8000	0.95706
19.9000	0.95706
20.0000	0.96194
20.1000	0.95706
20.2000	0.95706
20.3000	0.95706
20.4000	0.96194
20.5000	0.95706
20.6000	0.96194
20.7000	0.95706
20.8000	0.95706
20.9000	0.95706
21.0000	0.95706
21.1000	0.95706
21.2000	0.95706
21.3000	0.95706
21.4000	0.95706
21.5000	0.95706
21.6000	0.95706
21.7000	0.95706
21.8000	0.95706
21.9000	0.95706
22.0000	0.95706
22.1000	0.95706
22.2000	0.95218
22.3000	0.95218
22.4000	0.95218
22.5000	0.95706
22.6000	0.95218
22.7000	0.95218
22.8000	0.95218
22.9000	0.94729
23.0000	0.95218
23.1000	0.94729
23.2000	0.95218
23.3000	0.94729
23.4000	0.95218
23.5000	0.95218
23.6000	0.94729
23.7000	0.94729
23.8000	0.94729
23.9000	0.94729
24.0000	0.95218
24.1000	0.94729
24.2000	0.94729
24.3000	0.94729
24.4000	0.95218
24.5000	0.94729
24.6000	0.95218
24.7000	0.94729
24.8000	0.95218
24.9000	0.94729
25.0000	0.94729
25.1000	0.94729
25.2000	0.95218
25.3000	0.94729
25.4000	0.94729
25.5000	0.94729
25.6000	0.94729
25.7000	0.94729
25.8000	0.94729
25.9000	0.94729
26.0000	0.94241
26.1000	0.94729
26.2000	0.94729
26.3000	0.94729
26.4000	0.94729
26.5000	0.94241
26.6000	0.94729
26.7000	0.94729
26.8000	0.94241
26.9000	0.94729
27.0000	0.94241
27.1000	0.94729
27.2000	0.94729
27.3000	0.94729
27.4000	0.94241
27.5000	0.94241
27.6000	0.94729
27.7000	0.94241
27.8000	0.94241
27.9000	0.94241
28.0000	0.94241
28.1000	0.94729
28.2000	0.94241
28.3000	0.94729
28.4000	0.94241
28.5000	0.94241
28.6000	0.94241
28.7000	0.94241
28.8000	0.94241
28.9000	0.93753
29.0000	0.94241
29.1000	0.94729
29.2000	0.94241
29.3000	0.94729
29.4000	0.94241
29.5000	0.94241
29.6000	0.94241
29.7000	0.94241
29.8000	0.94241
29.9000	0.94729
30.0000	0.94241
30.1000	0.94241
30.2000	0.94241
30.3000	0.94241
30.4000	0.94241
30.5000	0.94729
30.6000	0.94241
30.7000	0.93753
30.8000	0.94241
30.9000	0.93753
31.0000	0.94241
31.1000	0.94241
31.2000	0.94241
31.3000	0.93753
31.4000	0.94241
31.5000	0.93753
31.6000	0.94241
31.7000	0.93753
31.8000	0.94241
31.9000	0.93753
32.0000	0.93753
32.1000	0.93753
32.2000	0.94241
32.3000	0.94241
32.4000	0.93753
32.5000	0.93753
32.6000	0.94241
32.7000	0.93753
32.8000	0.93753
32.9000	0.93753
33.0000	0.94241
33.1000	0.93753
33.2000	0.93753
33.3000	0.94241
33.4000	0.93753
33.5000	0.93753
33.6000	0.93753
33.7000	0.93753
33.8000	0.93753
33.9000	0.93753
34.0000	0.93753
34.1000	0.93753
34.2000	0.94241
34.3000	0.93753
34.4000	0.94241
34.5000	0.93753
34.6000	0.94241
34.7000	0.93753
34.8000	0.93753
34.9000	0.93753
35.0000	0.94241
35.1000	0.93753
35.2000	0.94241
35.3000	0.93753
35.4000	0.94241
35.5000	0.93753
35.6000	0.94241
35.7000	0.93753
35.8000	0.94241
35.9000	0.93753
36.0000	0.93753
36.1000	0.93753
36.2000	0.93753
36.3000	0.93753
36.4000	0.94241
36.5000	0.93753
36.6000	0.93753
36.7000	0.93753
36.8000	0.93753
36.9000	0.93753
37.0000	0.93753
37.1000	0.93753
37.2000	0.93753
37.3000	0.93753
37.4000	0.94241
37.5000	0.93753
37.6000	0.93753
37.7000	0.93753
37.8000	0.93753
37.9000	0.93753
38.0000	0.93753
38.1000	0.93753
38.2000	0.93753
38.3000	0.93753
38.4000	0.93753
38.5000	0.93753
38.6000	0.93753
38.7000	0.93753
38.8000	0.93753
38.9000	0.93753
39.0000	0.93753
39.1000	0.93753
39.2000	0.93753
39.3000	0.93753
39.4000	0.93753
39.5000	0.93753
39.6000	0.93753
39.7000	0.93753
39.8000	0.93753
39.9000	0.93753
40.0000	0.93753
40.1000	0.93753
40.2000	0.93753
40.3000	0.93753
40.4000	0.94241
40.5000	0.93753
40.6000	0.93753
40.7000	0.93753
40.8000	0.93753
40.9000	0.93753
41.0000	0.93753
41.1000	0.93753
41.2000	0.94241
41.3000	0.93753
41.4000	0.93753
41.5000	0.93753
41.6000	0.93753
41.7000	0.93753
41.8000	0.93753
41.9000	0.93753
42.0000	0.93753
42.1000	0.93753
42.2000	0.93753
42.3000	0.93753
42.4000	0.93753
42.5000	0.93753
42.6000	0.93753
42.7000	0.93753
42.8000	0.93753
42.9000	0.93753
43.0000	0.93753
43.1000	0.93753
43.2000	0.93753
43.3000	0.93753
43.4000	0.93753
43.5000	0.93753
43.6000	0.93753
43.7000	0.93753
43.8000	0.93753
43.9000	0.93753
44.0000	0.93753
44.1000	0.93753
44.2000	0.93753
44.3000	0.93753
44.4000	0.93753
44.5000	0.93753
44.6000	0.93753
44.7000	0.93753
44.8000	0.93753
44.9000	0.93753
45.0000	0.93753
45.1000	0.93753
45.2000	0.93753
45.3000	0.93753
45.4000	0.93753
45.5000	0.93753
45.6000	0.93753
45.7000	0.93753
45.8000	0.93753
45.9000	0.93753
46.0000	0.93753
46.1000	0.93753
46.2000	0.93753
46.3000	0.93753
46.4000	0.93753
46.5000	0.93753
46.6000	0.93753
46.7000	0.93753
46.8000	0.93753
46.9000	0.93753
47.0000	0.93753
47.1000	0.93753
47.2000	0.93753
47.3000	0.93753
47.4000	0.93753
47.5000	0.93753
47.6000	0.93753
47.7000	0.93753
47.8000	0.93753
47.9000	0.93753
48.0000	0.93753
48.1000	0.93753
48.2000	0.93753
48.3000	0.93753
48.4000	0.93753
48.5000	0.93753
48.6000	0.93753
48.7000	0.93753
48.8000	0.93753
48.9000	0.93753
49.0000	0.93753
49.1000	0.93753
49.2000	0.93753
49.3000	0.93753
49.4000	0.93753
49.5000	0.93753
49.6000	0.93753
49.7000	0.93753
49.8000	0.93753
49.9000	0.93753
50.0000	0.93753
50.1000	0.93753
50.2000	0.93753
50.3000	0.93753
50.4000	0.93753
50.5000	0.93753
50.6000	0.93753
50.7000	0.93753
50.8000	0.93753
50.9000	0.93753
51.0000	0.93753
51.1000	0.93753
51.2000	0.93753
51.3000	0.93753
51.4000	0.93753
51.5000	0.93753
51.6000	0.93753
51.7000	0.93753
51.8000	0.93265
51.9000	0.93753
52.0000	0.93753
52.1000	0.93753
52.2000	0.93753
52.3000	0.93753
52.4000	0.93753
52.5000	0.93753
52.6000	0.93753
52.7000	0.93753
52.8000	0.93753
52.9000	0.93753
53.0000	0.93753
53.1000	0.93753
53.2000	0.93753
53.3000	0.93753
53.4000	0.93753
53.5000	0.93753
53.6000	0.93753
53.7000	0.93753
53.8000	0.93753
53.9000	0.93753
54.0000	0.93753
54.1000	0.93753
54.2000	0.93753
54.3000	0.93753
54.4000	0.93753
54.5000	0.93753
54.6000	0.93753
54.7000	0.93753
54.8000	0.93753
54.9000	0.93753
55.0000	0.94241
55.1000	1.07425
55.2000	1.34770
55.3000	1.62603
55.4000	1.91900
55.5000	2.20710
55.6000	2.21198
55.7000	2.20710
55.8000	2.19733
55.9000	2.18757
56.0000	2.17292
56.1000	2.15827
56.2000	2.15339
56.3000	2.14850
56.4000	2.14850
56.5000	2.13874
56.6000	2.12897
56.7000	2.11921
56.8000	2.11432
56.9000	2.10944
57.0000	2.10944
57.1000	2.09967
57.2000	2.09479
57.3000	2.08502
57.4000	2.08502
57.5000	2.08014
57.6000	2.07526
57.7000	2.07038
57.8000	2.07038
57.9000	2.06061
58.0000	2.06061
58.1000	2.05573
58.2000	2.05084
58.3000	2.05084
58.4000	2.05084
58.5000	2.04108
58.6000	2.04108
58.7000	2.04108
58.8000	2.03619
58.9000	2.03131
59.0000	2.03131
59.1000	2.03131
59.2000	2.02643
59.3000	2.02155
59.4000	2.02155
59.5000	2.01666
59.6000	2.01666
59.7000	2.01178
59.8000	2.01178
59.9000	2.01178
60.0000	2.01178
60.1000	2.00690
60.2000	2.00690
60.3000	2.00201
60.4000	2.00201
60.5000	2.00201
60.6000	1.99225
60.7000	1.99225
60.8000	1.99225
60.9000	1.99225
61.0000	1.99225
61.1000	1.99225
61.2000	1.98737
61.3000	1.98248
61.4000	1.97760
61.5000	1.97760
61.6000	1.97760
61.7000	1.97272
