Temperatura, Can B, Raccolta #2
Tempo ( s )	Temperatura ( °C )
0,0000	63,93753
0,1000	63,93753
0,2000	63,93753
0,3000	63,93753
0,4000	63,82441
0,5000	63,93753
0,6000	63,93753
0,7000	63,93753
0,8000	63,93753
0,9000	63,93753
1,0000	63,93753
1,1000	63,93753
1,2000	63,93753
1,3000	63,93753
1,4000	63,93753
1,5000	63,93753
1,6000	63,93753
1,7000	63,93753
1,8000	63,93753
1,9000	63,93753
2,0000	63,93753
2,1000	63,93753
2,2000	63,93753
2,3000	64,16495
2,4000	63,93753
2,5000	63,93753
2,6000	63,93753
2,7000	64,05104
2,8000	63,93753
2,9000	64,05104
3,0000	63,93753
3,1000	64,05104
3,2000	63,93753
3,3000	63,93753
3,4000	63,93753
3,5000	64,16495
3,6000	63,93753
3,7000	64,05104
3,8000	63,93753
3,9000	63,93753
4,0000	63,93753
4,1000	63,93753
4,2000	63,71168
4,3000	63,71168
4,4000	63,48738
4,5000	63,48738
4,6000	63,26460
4,7000	63,15378
4,8000	63,04333
4,9000	62,93325
5,0000	62,60519
5,1000	62,60519
5,2000	62,17281
5,3000	62,17281
5,4000	61,95872
5,5000	61,95872
5,6000	61,53466
5,7000	61,53466
5,8000	61,32464
5,9000	61,22013
6,0000	60,90855
6,1000	60,80534
6,2000	60,49760
6,3000	60,49760
6,4000	60,29400
6,5000	60,09164
6,6000	59,89050
6,7000	59,89050
6,8000	59,69055
6,9000	59,69055
7,0000	59,49179
7,1000	59,39285
7,2000	59,29420
7,3000	59,19584
7,4000	58,90246
7,5000	58,99997
7,6000	58,90246
7,7000	58,80523
7,8000	58,70828
7,9000	58,61161
8,0000	58,51521
8,1000	58,51521
8,2000	58,32324
8,3000	58,32324
8,4000	58,13234
8,5000	58,13234
8,6000	58,13234
8,7000	58,13234
8,8000	57,94252
8,9000	57,94252
9,0000	57,94252
9,1000	57,94252
9,2000	57,75374
9,3000	57,75374
9,4000	57,75374
9,5000	57,75374
9,6000	57,56601
9,7000	57,65975
9,8000	57,56601
9,9000	57,56601
10,0000	57,37931
10,1000	57,56601
10,2000	57,37931
10,3000	57,37931
10,4000	57,37931
10,5000	57,37931
10,6000	57,37931
10,7000	57,37931
10,8000	57,19362
10,9000	57,28634
11,0000	57,19362
11,1000	57,28634
11,2000	57,19362
11,3000	57,19362
11,4000	57,00893
11,5000	57,19362
11,6000	57,00893
11,7000	57,00893
11,8000	57,00893
11,9000	57,00893
12,0000	56,91696
12,1000	57,00893
12,2000	56,82524
12,3000	57,00893
12,4000	56,82524
12,5000	56,91696
12,6000	56,82524
12,7000	56,82524
12,8000	56,64252
12,9000	56,73375
13,0000	56,64252
13,1000	56,73375
13,2000	56,64252
13,3000	56,64252
13,4000	56,64252
13,5000	56,64252
13,6000	56,64252
13,7000	56,64252
13,8000	56,55152
13,9000	56,64252
14,0000	56,46076
14,1000	56,55152
14,2000	56,46076
14,3000	56,46076
14,4000	56,46076
14,5000	56,46076
14,6000	56,27997
14,7000	56,46076
14,8000	56,27997
14,9000	56,27997
15,0000	56,27997
15,1000	56,27997
