Temperatura. Can B ( C )	Posizione. Can 1 e 2 ( m )
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.36364	0.00000
27.41032	0.00000
27.27038	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.45703	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.36364	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.27038	0.00000
27.31699	0.00000
27.31699	0.00000
27.36364	0.00000
27.31699	0.00000
27.41032	0.00000
27.27038	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.41032	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	0.00000
27.36364	0.00000
27.31699	0.00000
27.31699	0.00000
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.41032	6.25000E-5
27.31699	6.25000E-5
27.36364	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.41032	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.41032	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.27038	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.27038	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.27038	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
27.31699	6.25000E-5
