Temperatura. Can B ( C )	Pressione. Can A ( kPa )
23.76054	0.07324
23.80522	0.07813
23.71588	0.07813
23.80522	0.07813
23.67124	0.07813
23.80522	0.07813
23.67124	0.07813
23.76054	0.07324
23.71588	0.07813
23.80522	0.07324
23.71588	0.07813
23.80522	0.07813
23.67124	0.07813
23.80522	0.07324
23.71588	0.07813
23.76054	0.06836
23.71588	0.07813
23.76054	0.07324
23.67124	0.07813
23.76054	0.07324
23.67124	0.07813
23.76054	0.07324
23.71588	0.07813
23.80522	0.07813
23.71588	0.07813
23.76054	0.07813
23.67124	0.07324
23.76054	0.07324
23.71588	0.07813
23.67124	0.06836
23.71588	0.07813
23.80522	0.06836
23.67124	0.07813
23.76054	0.07324
23.71588	0.07813
23.76054	0.07324
23.67124	0.06836
23.76054	0.07324
23.67124	0.07813
23.80522	0.07324
23.71588	0.06836
23.80522	0.06836
23.67124	0.07813
23.76054	0.06836
23.71588	0.06836
23.76054	0.06836
23.71588	0.07813
23.80522	0.07324
23.67124	0.07324
23.76054	0.07324
23.71588	0.07324
23.80522	0.07324
23.71588	0.07813
23.76054	0.06836
23.67124	0.06836
23.76054	0.07324
23.67124	0.06836
23.80522	0.07324
23.71588	0.07813
23.67124	0.06836
23.67124	0.06836
23.80522	0.07324
23.67124	0.06836
23.76054	0.06836
23.71588	0.07813
23.80522	0.06836
23.71588	0.06836
23.76054	0.06836
23.71588	0.06836
23.76054	0.06836
23.67124	0.06836
23.76054	0.06836
23.67124	0.06836
23.76054	0.07324
23.67124	0.07813
23.76054	0.06836
23.71588	0.06836
23.76054	0.06836
23.76054	0.07813
23.76054	0.06836
23.71588	0.06836
23.80522	0.06836
23.71588	0.07324
23.76054	0.06836
23.71588	0.06836
23.80522	0.06836
23.71588	0.07813
23.76054	0.06836
23.67124	0.06836
23.80522	0.06836
23.67124	0.07324
23.76054	0.06836
23.67124	0.06836
23.76054	0.06836
23.67124	0.06836
23.76054	0.06836
23.71588	0.06836
23.80522	0.06836
23.67124	0.06836
23.76054	0.06836
23.67124	0.06836
23.76054	0.06836
23.67124	0.06836
23.76054	0.06836
23.71588	0.06836
23.67124	0.06836
23.71588	0.06836
23.76054	0.06836
23.71588	0.06836
23.76054	0.06836
23.67124	0.06836
23.80522	0.06836
23.67124	0.06836
23.76054	0.06836
23.71588	0.06836
23.80522	0.06836
23.67124	0.06348
23.76054	0.06836
23.67124	0.06348
23.76054	0.06836
23.67124	0.06836
23.76054	0.06836
23.67124	0.07813
23.76054	0.06836
23.71588	0.06836
23.76054	0.06836
23.71588	0.06836
23.76054	0.06836
23.67124	0.06836
23.76054	0.06836
23.67124	0.06348
23.76054	0.06836
23.71588	0.06836
23.80522	0.06836
23.71588	0.06348
23.76054	0.06836
23.71588	0.06348
23.76054	0.06348
23.67124	0.06836
23.80522	0.06836
23.71588	0.06348
23.67124	0.06836
23.67124	0.06348
23.76054	0.06348
23.67124	0.06348
23.76054	0.06836
23.67124	0.06348
23.80522	0.06836
23.67124	0.06348
23.76054	0.06836
23.71588	0.06836
23.80522	0.06348
23.71588	0.06348
23.80522	0.06836
23.67124	0.06348
23.76054	0.06348
23.67124	0.06348
23.76054	0.06348
23.71588	0.06836
23.80522	0.06836
23.71588	0.06836
23.80522	0.06348
23.71588	0.06348
23.76054	0.06348
23.67124	0.06348
23.76054	0.06348
23.67124	0.06348
23.80522	0.06348
23.76054	0.06348
23.67124	0.06348
23.67124	0.06348
23.76054	0.06348
23.67124	0.06348
23.80522	0.05860
23.71588	0.06348
23.80522	0.06836
23.67124	0.06348
23.76054	0.06348
23.67124	0.06348
23.80522	0.06348
23.71588	0.06348
23.67124	0.06348
23.67124	0.06348
23.76054	0.06348
23.71588	0.06348
23.76054	0.06348
23.67124	0.06348
23.76054	0.06348
23.71588	0.06348
23.80522	0.06348
23.71588	0.06348
23.67124	0.06348
23.71588	0.06348
23.67124	0.05860
23.71588	0.06348
23.76054	0.06348
23.67124	0.06348
23.76054	0.06348
23.71588	0.06348
23.80522	0.06348
23.67124	0.06348
23.76054	0.06348
23.67124	0.06348
23.76054	0.05860
23.71588	0.05860
23.76054	0.06348
23.71588	0.06348
23.76054	0.06348
23.71588	0.06348
23.80522	0.05860
23.67124	0.06348
23.80522	0.06348
23.67124	0.05860
23.80522	0.05860
23.67124	0.05860
23.76054	0.05860
23.67124	0.06348
23.76054	0.05860
23.67124	0.05860
23.76054	0.05860
23.67124	0.06348
23.76054	0.05860
23.67124	0.06348
23.67124	0.05860
23.71588	0.06348
23.80522	0.05860
23.71588	0.05860
23.67124	0.05860
23.71588	0.05860
23.67124	0.05860
23.71588	0.05860
23.67124	0.05860
23.71588	0.06348
23.76054	0.05860
23.67124	0.06348
23.76054	0.05860
23.71588	0.05860
23.80522	0.05860
23.67124	0.05860
23.76054	0.06348
23.67124	0.05860
23.67124	0.05860
23.71588	0.05860
23.67124	0.05860
23.71588	0.05860
23.76054	0.05371
23.67124	0.05860
23.76054	0.05860
23.71588	0.05860
23.80522	0.05860
23.71588	0.05860
23.76054	0.05860
23.71588	0.05860
23.80522	0.05860
23.71588	0.06348
23.80522	0.05860
23.71588	0.05860
23.80522	0.05860
23.67124	0.05860
23.80522	0.05860
23.67124	0.05860
23.80522	0.05860
23.71588	0.05860
23.76054	0.05860
23.67124	0.05860
23.76054	0.05860
23.71588	0.05860
23.76054	0.05860
23.67124	0.05860
23.80522	0.05860
23.67124	0.05860
23.80522	0.05860
23.71588	0.05860
23.84992	0.05860
23.67124	0.05860
23.80522	0.05860
23.67124	0.05860
23.80522	0.05860
23.71588	0.05860
23.80522	0.05860
23.67124	0.05860
23.80522	0.05860
23.67124	0.05860
23.80522	0.05860
23.67124	0.05860
23.80522	0.05860
23.71588	0.06348
23.67124	0.05860
23.71588	0.06348
23.76054	0.05860
23.67124	0.05860
23.80522	0.06348
23.71588	0.06348
23.76054	0.05860
23.67124	0.06348
23.76054	0.05860
23.71588	0.05860
23.76054	0.05860
23.67124	0.06348
23.76054	0.05860
23.71588	0.06348
23.80522	0.05860
23.71588	0.05860
23.80522	0.05860
23.67124	0.06348
23.80522	0.05860
23.71588	0.06348
23.80522	0.05860
23.67124	0.05860
23.80522	0.06348
23.71588	0.06348
23.76054	0.05860
23.67124	0.06348
23.80522	0.06348
23.67124	0.06348
23.76054	0.06348
23.67124	0.06348
23.76054	0.06348
23.67124	0.06348
23.80522	0.06348
23.71588	0.06348
