Pressione, Can A in funzione di Temperatura, Can B, Raccolta #3
Temperatura, Can B ( °C )	Pressione, Can A ( kPa )
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,31699	0,09766
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,31699	0,09766
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,31699	0,09766
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,31699	0,08789
27,31699	0,09278
27,27038	0,09766
27,31699	0,08789
27,31699	0,09766
27,31699	0,08789
27,27038	0,09278
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,31699	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,31699	0,08301
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,09766
27,31699	0,09278
27,27038	0,08789
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,31699	0,09766
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,31699	0,08301
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,31699	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,31699	0,08301
27,31699	0,08301
27,31699	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08301
27,27038	0,08301
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,27038	0,08301
27,31699	0,08301
27,27038	0,08301
27,31699	0,08301
27,27038	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08301
27,31699	0,08301
27,27038	0,08301
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,27038	0,08789
27,31699	0,08789
27,27038	0,08301
27,31699	0,08301
27,27038	0,08789
27,31699	0,08789
27,27038	0,09766
27,31699	0,08789
27,27038	0,08301
27,31699	0,08789
27,31699	0,08789
27,31699	0,08789
27,27038	0,08301
