Tempo ( s )	Pressione ( kPa )
0.0000	0.00000
0.1000	0.00488
0.2000	0.00488
0.3000	0.00488
0.4000	0.00488
0.5000	0.00488
0.6000	0.00488
0.7000	0.00488
0.8000	0.00000
0.9000	0.00488
1.0000	0.00488
1.1000	0.00488
1.2000	0.00488
1.3000	0.00488
1.4000	0.00488
1.5000	0.00488
1.6000	0.00488
1.7000	0.00488
1.8000	0.00977
1.9000	0.00977
2.0000	0.00488
2.1000	0.00977
2.2000	0.00488
2.3000	0.00488
2.4000	0.00488
2.5000	0.00488
2.6000	0.01953
2.7000	0.00977
2.8000	0.00977
2.9000	0.00977
3.0000	0.01953
3.1000	0.34181
3.2000	1.47465
3.3000	3.31065
3.4000	5.70330
3.5000	5.58611
3.6000	5.46892
3.7000	5.37126
3.8000	5.29313
3.9000	5.23453
4.0000	5.17594
4.1000	5.12711
4.2000	5.07828
4.3000	5.04410
4.4000	5.00504
4.5000	4.98062
4.6000	4.94644
4.7000	4.92203
4.8000	4.90249
4.9000	4.88296
5.0000	4.86343
5.1000	4.84390
5.2000	4.82437
5.3000	4.80483
5.4000	4.79019
5.5000	4.77554
5.6000	4.76577
5.7000	4.74624
5.8000	4.73159
5.9000	4.72182
6.0000	4.70717
6.1000	4.69253
6.2000	4.68764
6.3000	4.67299
6.4000	4.66811
6.5000	4.65346
6.6000	4.64370
6.7000	4.63881
6.8000	4.62905
6.9000	4.62905
7.0000	4.60952
7.1000	4.60952
7.2000	4.60952
7.3000	4.58998
7.4000	4.58998
7.5000	4.57533
7.6000	4.57045
7.7000	4.56557
7.8000	4.56069
7.9000	4.55092
8.0000	4.55092
8.1000	4.54115
8.2000	4.53627
8.3000	4.53139
8.4000	4.53139
8.5000	4.53139
8.6000	4.51674
8.7000	4.51186
8.8000	4.51186
8.9000	4.51186
9.0000	4.50209
9.1000	4.49232
9.2000	4.49232
9.3000	4.48256
9.4000	4.48256
9.5000	4.47768
9.6000	4.47279
9.7000	4.47279
9.8000	4.47279
9.9000	4.47279
10.0000	4.45814
10.1000	4.45326
10.2000	4.45326
10.3000	4.45326
10.4000	4.45326
10.5000	4.44349
10.6000	4.43861
10.7000	4.43373
10.8000	4.43373
10.9000	4.43373
11.0000	4.43373
11.1000	4.43373
11.2000	4.43373
11.3000	4.41908
11.4000	4.41908
11.5000	4.41420
11.6000	4.41420
11.7000	4.41420
11.8000	4.40931
11.9000	4.40443
12.0000	4.40443
12.1000	4.39955
12.2000	4.39955
12.3000	4.39955
12.4000	4.39467
12.5000	4.39467
12.6000	4.39467
12.7000	4.39467
12.8000	4.38490
12.9000	4.39467
13.0000	4.38490
13.1000	4.38490
13.2000	4.38002
13.3000	4.38002
13.4000	4.38002
13.5000	4.37513
13.6000	4.37513
13.7000	4.37513
13.8000	4.37513
13.9000	4.37513
14.0000	4.37513
14.1000	4.37513
14.2000	4.37513
14.3000	4.37513
14.4000	4.36537
14.5000	4.36048
14.6000	4.37513
