Pressione, Can A, Raccolta #7
Tempo ( s )	Pressione ( kPa )
0,0000	0,00000
0,1000	0,00000
0,2000	0,00000
0,3000	0,00000
0,4000	0,00000
0,5000	0,00000
0,6000	0,00000
0,7000	0,00000
0,8000	0,00000
0,9000	0,00000
1,0000	0,00000
1,1000	0,00000
1,2000	0,00000
1,3000	0,00000
1,4000	0,00000
1,5000	0,00000
1,6000	0,00000
1,7000	0,00000
1,8000	0,00000
1,9000	0,00000
2,0000	0,00000
2,1000	0,00000
2,2000	0,00000
2,3000	0,00000
2,4000	0,00000
2,5000	0,00000
2,6000	0,00000
2,7000	0,00000
2,8000	0,00000
2,9000	0,00000
3,0000	0,00000
3,1000	0,00000
3,2000	0,00000
3,3000	0,00000
3,4000	0,00000
3,5000	0,00000
3,6000	0,00000
3,7000	0,00000
3,8000	0,00000
3,9000	0,00000
4,0000	0,00488
4,1000	0,37599
4,2000	2,08014
4,3000	4,79019
4,4000	6,89474
4,5000	6,68477
4,6000	6,53829
4,7000	6,43086
4,8000	6,33808
4,9000	6,27461
5,0000	6,20624
5,1000	6,14765
5,2000	6,10370
5,3000	6,05976
5,4000	6,02557
5,5000	5,99139
5,6000	5,96210
5,7000	5,93280
5,8000	5,91327
5,9000	5,88885
6,0000	5,86932
6,1000	5,84979
6,2000	5,83026
6,3000	5,81072
6,4000	5,79608
6,5000	5,78143
6,6000	5,75701
6,7000	5,74725
6,8000	5,73260
6,9000	5,71306
7,0000	5,70330
7,1000	5,69353
7,2000	5,67888
7,3000	5,66912
7,4000	5,65935
7,5000	5,63982
7,6000	5,63494
7,7000	5,62029
7,8000	5,61052
7,9000	5,60076
8,0000	5,59099
8,1000	5,58123
8,2000	5,57146
8,3000	5,56169
8,4000	5,55681
8,5000	5,54216
8,6000	5,53728
8,7000	5,53240
8,8000	5,52263
8,9000	5,51775
9,0000	5,50798
9,1000	5,50310
9,2000	5,49821
9,3000	5,48845
9,4000	5,48357
9,5000	5,47868
9,6000	5,47380
9,7000	5,46892
9,8000	5,45915
9,9000	5,45427
10,0000	5,44939
10,1000	5,43962
10,2000	5,43474
10,3000	5,43474
10,4000	5,42985
10,5000	5,42985
10,6000	5,41520
10,7000	5,41520
10,8000	5,40544
10,9000	5,40544
11,0000	5,40056
11,1000	5,39567
11,2000	5,39079
11,3000	5,38591
11,4000	5,38591
11,5000	5,38102
11,6000	5,38102
11,7000	5,37614
11,8000	5,36637
11,9000	5,36637
12,0000	5,36637
12,1000	5,36149
12,2000	5,35661
12,3000	5,35661
12,4000	5,35173
12,5000	5,35173
12,6000	5,34684
12,7000	5,34196
12,8000	5,34196
12,9000	5,33708
13,0000	5,32731
13,1000	5,32731
13,2000	5,32731
13,3000	5,32731
13,4000	5,32243
13,5000	5,32243
13,6000	5,32243
13,7000	5,31755
13,8000	5,31266
13,9000	5,31266
14,0000	5,31266
14,1000	5,30778
14,2000	5,30778
14,3000	5,30290
14,4000	5,30290
14,5000	5,30290
14,6000	5,29801
14,7000	5,29313
14,8000	5,29313
14,9000	5,28825
15,0000	5,28825
15,1000	5,28825
15,2000	5,28825
15,3000	5,28336
15,4000	5,28336
15,5000	5,28336
15,6000	5,27848
15,7000	5,27848
15,8000	5,27848
15,9000	5,27360
16,0000	5,27360
