Pressione, Can A, Raccolta #15
Tempo ( s )	Pressione ( kPa )
0,0000	-0,01953
0,1000	-0,01953
0,2000	-0,01953
0,3000	-0,01465
0,4000	-0,01465
0,5000	-0,01465
0,6000	-0,01465
0,7000	-0,02441
0,8000	-0,01953
0,9000	-0,01953
1,0000	-0,01465
1,1000	-0,01465
1,2000	-0,01953
1,3000	-0,01953
1,4000	-0,01465
1,5000	-0,01953
1,6000	-0,02441
1,7000	-0,01953
1,8000	-0,01465
1,9000	-0,01953
2,0000	-0,01953
2,1000	-0,01465
2,2000	0,13184
2,3000	2,51473
2,4000	4,33607
2,5000	4,20911
2,6000	4,12122
2,7000	4,05774
2,8000	3,98938
2,9000	3,94543
3,0000	3,90637
3,1000	3,86731
3,2000	3,82824
3,3000	3,79894
3,4000	3,77453
3,5000	3,75011
3,6000	3,72570
3,7000	3,71105
3,8000	3,69152
3,9000	3,67199
4,0000	3,65734
4,1000	3,64757
4,2000	3,63292
4,3000	3,61827
4,4000	3,60363
4,5000	3,59386
4,6000	3,59386
4,7000	3,57433
4,8000	3,56456
4,9000	3,55968
5,0000	3,54991
5,1000	3,54015
5,2000	3,53038
5,3000	3,52550
5,4000	3,51573
5,5000	3,51085
5,6000	3,50597
5,7000	3,50108
5,8000	3,49132
5,9000	3,49132
6,0000	3,47667
6,1000	3,47667
6,2000	3,46690
6,3000	3,46202
6,4000	3,45225
6,5000	3,45225
6,6000	3,45225
6,7000	3,44249
6,8000	3,44249
6,9000	3,43272
7,0000	3,43272
7,1000	3,42784
7,2000	3,42296
7,3000	3,42296
7,4000	3,41319
7,5000	3,41319
7,6000	3,40831
7,7000	3,40831
7,8000	3,40342
7,9000	3,39854
8,0000	3,39854
8,1000	3,39854
8,2000	3,38878
8,3000	3,38878
8,4000	3,38389
8,5000	3,38389
8,6000	3,37413
8,7000	3,37413
8,8000	3,37413
8,9000	3,37413
9,0000	3,36924
