Tempo ( s )	Pressione ( kPa )
0.0000	0.00488
0.1000	0.00977
0.2000	0.01465
0.3000	0.00977
0.4000	0.00977
0.5000	0.01465
0.6000	0.00977
0.7000	0.00977
0.8000	0.01465
0.9000	0.01465
1.0000	0.00977
1.1000	0.01465
1.2000	0.01465
1.3000	0.01465
1.4000	0.01465
1.5000	0.01465
1.6000	0.01465
1.7000	0.01465
1.8000	0.01465
1.9000	0.01465
2.0000	0.01465
2.1000	0.01465
2.2000	0.01465
2.3000	0.01465
2.4000	0.01465
2.5000	0.01465
2.6000	0.01465
2.7000	0.01465
2.8000	0.11231
2.9000	1.89459
3.0000	4.39955
3.1000	4.27259
3.2000	4.17982
3.3000	4.10169
3.4000	4.05286
3.5000	3.99426
3.6000	3.95032
3.7000	3.91125
3.8000	3.87707
3.9000	3.84289
4.0000	3.81848
4.1000	3.79406
4.2000	3.77453
4.3000	3.75500
4.4000	3.74035
4.5000	3.72082
4.6000	3.71105
4.7000	3.69152
4.8000	3.68175
4.9000	3.66710
5.0000	3.65734
5.1000	3.64757
5.2000	3.63781
5.3000	3.63292
5.4000	3.62316
5.5000	3.60851
5.6000	3.60363
5.7000	3.59386
5.8000	3.59386
5.9000	3.58409
6.0000	3.56944
6.1000	3.56944
6.2000	3.56456
6.3000	3.55968
6.4000	3.55480
6.5000	3.54991
6.6000	3.54015
6.7000	3.53038
6.8000	3.53038
6.9000	3.52062
7.0000	3.52062
7.1000	3.51573
7.2000	3.51085
7.3000	3.50597
7.4000	3.50108
7.5000	3.50108
7.6000	3.49132
7.7000	3.49132
7.8000	3.48643
7.9000	3.48643
8.0000	3.47667
8.1000	3.47667
8.2000	3.47667
8.3000	3.47179
8.4000	3.46690
8.5000	3.46690
8.6000	3.46202
8.7000	3.45225
8.8000	3.45225
8.9000	3.45225
9.0000	3.44737
9.1000	3.44737
9.2000	3.44249
9.3000	3.43760
9.4000	3.43760
9.5000	3.43272
9.6000	3.43272
