Pressione, Can A, Raccolta #2
Tempo ( s )	Pressione ( kPa )
0,0000	-0,03418
0,1000	-0,03418
0,2000	-0,02930
0,3000	-0,03418
0,4000	-0,03418
0,5000	-0,03418
0,6000	-0,02930
0,7000	-0,03418
0,8000	-0,03418
0,9000	-0,03418
1,0000	-0,03418
1,1000	-0,02930
1,2000	-0,03418
1,3000	-0,03418
1,4000	-0,03418
1,5000	-0,02930
1,6000	-0,03418
1,7000	-0,02930
1,8000	-0,02930
1,9000	-0,02930
2,0000	-0,03418
2,1000	-0,02930
2,2000	-0,02930
2,3000	-0,03418
2,4000	-0,02930
2,5000	-0,03418
2,6000	-0,02930
2,7000	-0,03418
2,8000	-0,02930
2,9000	-0,03418
3,0000	-0,02930
3,1000	-0,02930
3,2000	-0,02930
3,3000	-0,02930
3,4000	-0,02930
3,5000	-0,03418
3,6000	-0,02930
3,7000	-0,03418
3,8000	-0,03418
3,9000	-0,03418
4,0000	-0,02930
4,1000	-0,02930
4,2000	-0,03418
4,3000	-0,02930
4,4000	-0,03418
4,5000	-0,03418
