Tempo ( s )	Pressione ( kPa )
0.0000	-0.02441
0.1000	-0.02441
0.2000	-0.02441
0.3000	-0.02441
0.4000	-0.01953
0.5000	-0.02441
0.6000	-0.02441
0.7000	-0.02441
0.8000	-0.02441
0.9000	-0.02441
1.0000	-0.02441
1.1000	-0.02441
1.2000	-0.02441
1.3000	-0.02441
1.4000	-0.02441
1.5000	-0.02441
1.6000	-0.02441
1.7000	-0.02441
1.8000	-0.02441
1.9000	-0.02441
2.0000	-0.02441
2.1000	-0.02441
2.2000	-0.02441
2.3000	-0.02441
2.4000	0.31251
2.5000	2.24128
2.6000	3.04209
2.7000	3.01767
2.8000	2.95907
2.9000	2.92001
3.0000	2.88095
3.1000	2.85165
3.2000	2.82235
3.3000	2.78817
3.4000	2.77352
3.5000	2.74911
3.6000	2.72958
3.7000	2.71004
3.8000	2.69539
3.9000	2.68563
4.0000	2.67098
4.1000	2.65633
4.2000	2.64657
4.3000	2.63192
4.4000	2.62703
4.5000	2.61727
4.6000	2.60750
4.7000	2.59285
4.8000	2.58797
4.9000	2.58309
5.0000	2.57332
5.1000	2.56844
5.2000	2.56355
5.3000	2.55379
5.4000	2.55379
5.5000	2.54402
5.6000	2.53914
5.7000	2.53914
5.8000	2.52937
5.9000	2.52449
6.0000	2.51473
6.1000	2.51473
6.2000	2.50496
6.3000	2.50984
6.4000	2.50008
6.5000	2.50008
6.6000	2.50008
6.7000	2.49031
6.8000	2.48543
6.9000	2.48543
7.0000	2.47566
7.1000	2.47566
7.2000	2.47078
7.3000	2.47078
7.4000	2.46590
7.5000	2.46101
7.6000	2.46101
7.7000	2.46101
7.8000	2.45613
7.9000	2.45125
8.0000	2.45125
8.1000	2.45125
8.2000	2.44636
8.3000	2.43660
8.4000	2.43660
8.5000	2.43660
8.6000	2.43660
8.7000	2.43171
8.8000	2.43171
8.9000	2.42683
9.0000	2.42195
9.1000	2.42683
9.2000	2.42195
9.3000	2.41707
9.4000	2.41218
9.5000	2.41218
9.6000	2.41218
9.7000	2.40730
9.8000	2.40242
9.9000	2.40730
10.0000	2.39753
10.1000	2.40242
10.2000	2.39753
10.3000	2.39753
10.4000	2.39753
10.5000	2.39753
10.6000	2.39265
10.7000	2.39265
10.8000	2.39265
10.9000	2.38777
11.0000	2.38777
11.1000	2.38289
11.2000	2.38777
11.3000	2.38289
11.4000	2.38289
11.5000	2.38289
11.6000	2.38289
11.7000	2.37800
11.8000	2.37312
11.9000	2.37800
12.0000	2.37312
12.1000	2.37312
12.2000	2.37312
12.3000	2.37312
12.4000	2.36824
12.5000	2.36824
12.6000	2.36335
12.7000	2.35847
12.8000	2.35847
12.9000	2.35847
13.0000	2.35847
13.1000	2.35847
13.2000	2.35847
