Pressione, Can A, Raccolta #5
Tempo ( s )	Pressione ( kPa )
0,0000	0,00000
0,1000	0,00488
0,2000	0,00000
0,3000	0,00488
0,4000	0,00488
0,5000	0,00000
0,6000	0,00000
0,7000	0,00000
0,8000	0,00000
0,9000	0,00000
1,0000	0,00000
1,1000	0,00000
1,2000	0,00000
1,3000	0,00000
1,4000	0,00000
1,5000	0,00000
1,6000	0,00000
1,7000	0,00000
1,8000	0,00000
1,9000	0,00000
2,0000	0,00000
2,1000	0,00000
2,2000	0,00000
2,3000	0,00000
2,4000	0,00000
2,5000	0,00000
2,6000	0,00000
2,7000	0,00000
2,8000	0,00000
2,9000	0,00000
3,0000	0,00000
3,1000	0,00000
3,2000	0,00000
3,3000	0,20997
3,4000	0,97659
3,5000	2,17292
3,6000	3,91125
3,7000	4,30677
3,8000	4,22376
3,9000	4,15052
4,0000	4,09192
4,1000	4,03821
4,2000	3,99915
4,3000	3,96008
4,4000	3,92590
4,5000	3,89660
4,6000	3,86731
4,7000	3,83801
4,8000	3,81359
4,9000	3,78918
5,0000	3,76965
5,1000	3,75011
5,2000	3,73547
5,3000	3,72082
5,4000	3,70128
5,5000	3,68664
5,6000	3,67687
5,7000	3,66222
5,8000	3,64757
5,9000	3,64269
6,0000	3,63292
6,1000	3,61827
6,2000	3,60851
6,3000	3,60363
6,4000	3,59386
6,5000	3,57921
6,6000	3,56944
6,7000	3,56944
6,8000	3,55968
6,9000	3,55480
7,0000	3,54503
7,1000	3,54015
7,2000	3,53038
7,3000	3,52550
7,4000	3,52550
7,5000	3,51573
7,6000	3,51085
7,7000	3,50597
7,8000	3,50108
7,9000	3,49132
8,0000	3,49132
8,1000	3,48643
8,2000	3,48155
8,3000	3,47667
8,4000	3,47667
8,5000	3,47667
8,6000	3,46690
8,7000	3,46202
8,8000	3,45714
8,9000	3,45225
9,0000	3,45225
9,1000	3,44737
9,2000	3,44249
9,3000	3,43760
9,4000	3,43760
9,5000	3,43272
9,6000	3,43272
9,7000	3,42784
9,8000	3,42784
9,9000	3,42296
10,0000	3,41319
10,1000	3,41807
10,2000	3,41319
10,3000	3,41319
10,4000	3,40831
10,5000	3,40831
10,6000	3,40831
10,7000	3,40342
10,8000	3,39854
10,9000	3,39854
11,0000	3,39854
11,1000	3,39854
11,2000	3,38878
11,3000	3,38389
11,4000	3,38878
11,5000	3,38389
11,6000	3,37901
11,7000	3,37413
11,8000	3,37413
11,9000	3,37413
12,0000	3,37413
12,1000	3,37413
12,2000	3,36924
12,3000	3,36436
12,4000	3,36436
12,5000	3,35948
12,6000	3,35948
12,7000	3,35948
12,8000	3,35459
12,9000	3,35459
13,0000	3,35459
13,1000	3,35459
13,2000	3,34971
13,3000	3,34971
13,4000	3,34971
13,5000	3,34971
13,6000	3,34483
13,7000	3,34483
13,8000	3,33995
13,9000	3,34483
14,0000	3,33506
14,1000	3,33018
14,2000	3,32530
14,3000	3,32530
14,4000	3,32530
