Posizione, Can 1 e 2, Raccolta #4
Tempo ( s )	Posizione ( m )
0,0000	0,00000
0,1000	0,00000
0,2000	0,00000
0,3000	0,00000
0,4000	0,00000
0,5000	0,00000
0,6000	0,00000
0,7000	0,00000
0,8000	0,00000
0,9000	0,00000
1,0000	0,00000
1,1000	0,00000
1,2000	0,00000
1,3000	0,00000
1,4000	0,00000
1,5000	0,00000
1,6000	0,00000
1,7000	0,00000
1,8000	0,00000
1,9000	0,00000
2,0000	0,00000
2,1000	0,00000
2,2000	0,00000
2,3000	0,00000
2,4000	0,00000
2,5000	0,00000
2,6000	0,00000
2,7000	0,00000
2,8000	0,00000
2,9000	0,00000
3,0000	0,00000
3,1000	0,00000
3,2000	0,00000
3,3000	0,00000
3,4000	0,00000
3,5000	0,00000
3,6000	0,00000
3,7000	0,00000
3,8000	0,00000
3,9000	0,00000
4,0000	0,00000
4,1000	0,00000
4,2000	0,00000
4,3000	0,00000
4,4000	0,00000
4,5000	0,00000
4,6000	0,00000
4,7000	0,00000
4,8000	0,00000
4,9000	0,00000
5,0000	0,00000
5,1000	0,00000
5,2000	0,00000
5,3000	0,00000
5,4000	0,00000
5,5000	0,00000
5,6000	0,00000
5,7000	0,00000
5,8000	0,00000
5,9000	0,00000
6,0000	0,00000
6,1000	0,00000
6,2000	0,00000
6,3000	0,00000
6,4000	0,00000
6,5000	0,00000
6,6000	0,00000
6,7000	0,00000
6,8000	0,00000
6,9000	0,00000
7,0000	0,00000
7,1000	0,00000
7,2000	0,00000
7,3000	0,00000
7,4000	0,00000
7,5000	0,00000
7,6000	0,00000
7,7000	0,00000
7,8000	0,00000
7,9000	0,00000
8,0000	0,00000
8,1000	0,00000
8,2000	0,00000
8,3000	0,00000
8,4000	0,00000
8,5000	0,00000
8,6000	0,00000
8,7000	0,00000
8,8000	0,00000
8,9000	0,00000
9,0000	0,00000
9,1000	0,00000
9,2000	0,00000
9,3000	0,00000
9,4000	0,00000
9,5000	0,00000
9,6000	0,00000
9,7000	0,00000
9,8000	0,00000
9,9000	0,00000
10,0000	0,00000
10,1000	0,00000
10,2000	0,00000
10,3000	0,00000
10,4000	0,00000
10,5000	0,00000
10,6000	0,00000
10,7000	0,00000
10,8000	0,00000
10,9000	0,00000
11,0000	0,00000
11,1000	0,00000
11,2000	0,00000
11,3000	0,00000
11,4000	0,00000
11,5000	0,00000
11,6000	0,00000
11,7000	0,00000
11,8000	0,00000
11,9000	0,00000
12,0000	0,00000
12,1000	0,00000
12,2000	0,00000
12,3000	0,00000
12,4000	0,00000
12,5000	0,00000
12,6000	0,00000
12,7000	0,00000
12,8000	0,00000
12,9000	0,00000
13,0000	0,00000
13,1000	0,00000
13,2000	0,00000
13,3000	0,00000
13,4000	0,00000
13,5000	0,00000
13,6000	0,00000
13,7000	0,00000
13,8000	0,00000
13,9000	0,00000
14,0000	0,00000
14,1000	0,00000
14,2000	0,00000
14,3000	-1,25000E-4
14,4000	-1,87500E-4
14,5000	-5,00000E-4
14,6000	-5,62500E-4
14,7000	-7,50000E-4
14,8000	-0,00100
14,9000	-0,00100
15,0000	-0,00100
15,1000	-0,00100
15,2000	-0,00100
15,3000	-0,00100
15,4000	-0,00100
15,5000	-0,00100
15,6000	-0,00100
15,7000	-0,00106
