Tempo ( s )	Pressione ( kPa )
0.0000	-0.02930
0.1000	-0.02441
0.2000	-0.01953
0.3000	-0.02441
0.4000	-0.01953
0.5000	-0.02930
0.6000	-0.02930
0.7000	-0.02441
0.8000	-0.01953
0.9000	-0.02441
1.0000	-0.02930
1.1000	-0.02441
1.2000	-0.03418
1.3000	-0.02441
1.4000	-0.02930
1.5000	-0.02441
1.6000	-0.02930
1.7000	-0.02441
1.8000	-0.02930
1.9000	-0.02441
2.0000	-0.01953
2.1000	-0.02930
2.2000	-0.02930
2.3000	-0.02441
2.4000	-0.02930
2.5000	-0.02441
2.6000	-0.02930
2.7000	-0.02441
2.8000	-0.03418
2.9000	-0.02441
3.0000	-0.01953
3.1000	-0.02441
3.2000	-0.02930
3.3000	-0.02441
3.4000	-0.01953
3.5000	-0.02930
3.6000	-0.01953
3.7000	-0.02441
3.8000	-0.02930
3.9000	-0.02441
4.0000	-0.02930
4.1000	-0.02441
4.2000	-0.02930
4.3000	-0.02441
4.4000	-0.02930
4.5000	-0.02441
4.6000	-0.02930
4.7000	-0.02930
4.8000	-0.02930
4.9000	-0.02441
5.0000	-0.02930
5.1000	-0.02930
5.2000	-0.02930
5.3000	-0.02441
5.4000	-0.02930
5.5000	-0.02441
5.6000	-0.03418
5.7000	-0.02441
5.8000	-0.02930
5.9000	-0.02930
6.0000	-0.02930
6.1000	-0.02441
6.2000	-0.01953
6.3000	-0.02441
6.4000	-0.02930
6.5000	-0.02441
6.6000	-0.01953
6.7000	-0.02441
6.8000	-0.02930
6.9000	-0.02441
7.0000	-0.02930
7.1000	-0.02441
7.2000	-0.03418
7.3000	-0.02441
7.4000	-0.02930
7.5000	-0.02441
7.6000	-0.01953
7.7000	-0.02441
7.8000	-0.02930
7.9000	-0.02930
8.0000	-0.02930
8.1000	-0.02441
8.2000	-0.02930
8.3000	-0.02441
8.4000	-0.01953
8.5000	-0.02930
8.6000	-0.02930
8.7000	-0.02930
8.8000	-0.01953
8.9000	-0.02441
9.0000	-0.01953
9.1000	-0.02930
9.2000	-0.02930
9.3000	-0.02441
9.4000	-0.02930
9.5000	-0.02441
9.6000	-0.01953
9.7000	-0.02930
9.8000	-0.01953
9.9000	-0.02930
10.0000	-0.02930
10.1000	-0.02441
10.2000	-0.02930
10.3000	-0.02441
10.4000	-0.03418
10.5000	-0.02930
10.6000	-0.02930
10.7000	-0.02441
10.8000	-0.02930
10.9000	-0.02441
11.0000	-0.02930
11.1000	-0.02441
11.2000	-0.02930
11.3000	-0.02441
11.4000	-0.02930
11.5000	-0.02441
11.6000	-0.02930
11.7000	-0.02930
11.8000	-0.03418
11.9000	-0.02441
