Tempo ( s )	Pressione ( kPa )
0.0000	-0.02441
0.1000	-0.01953
0.2000	-0.02441
0.3000	-0.01953
0.4000	-0.02441
0.5000	-0.01953
0.6000	-0.02441
0.7000	-0.01953
0.8000	-0.02441
0.9000	-0.01953
1.0000	-0.02441
1.1000	-0.01953
1.2000	-0.02441
1.3000	-0.01953
1.4000	-0.02441
1.5000	-0.01953
1.6000	-0.02441
1.7000	-0.01953
1.8000	-0.02441
1.9000	-0.01953
2.0000	-0.02441
2.1000	-0.01953
2.2000	-0.02441
2.3000	-0.01953
2.4000	-0.02441
2.5000	-0.02930
2.6000	-0.02441
2.7000	-0.01953
2.8000	-0.02441
2.9000	-0.01953
3.0000	-0.02441
3.1000	-0.01953
3.2000	-0.02441
3.3000	-0.02441
3.4000	-0.02441
3.5000	-0.01953
3.6000	-0.02441
3.7000	-0.01953
3.8000	-0.02441
3.9000	-0.01953
4.0000	-0.02441
4.1000	-0.02930
4.2000	-0.02441
4.3000	-0.02930
4.4000	-0.02441
4.5000	-0.01953
4.6000	-0.02441
4.7000	-0.01953
4.8000	-0.02441
4.9000	-0.01953
5.0000	-0.02441
5.1000	-0.01953
5.2000	-0.02441
5.3000	-0.01953
5.4000	-0.02441
5.5000	-0.01953
5.6000	-0.02441
5.7000	-0.01953
5.8000	-0.02441
5.9000	-0.01953
6.0000	-0.02441
6.1000	-0.01953
6.2000	-0.02441
6.3000	-0.01953
6.4000	-0.02441
6.5000	-0.01953
6.6000	-0.02441
6.7000	-0.01953
6.8000	-0.02441
6.9000	-0.01953
7.0000	-0.02441
7.1000	-0.01953
7.2000	-0.02441
7.3000	-0.01953
7.4000	-0.02441
7.5000	-0.01953
7.6000	-0.02441
7.7000	-0.01953
7.8000	-0.02441
7.9000	-0.01953
8.0000	-0.02441
8.1000	-0.01953
8.2000	-0.02441
8.3000	-0.01953
8.4000	-0.02441
8.5000	-0.01953
8.6000	-0.02441
8.7000	-0.01953
8.8000	-0.02441
8.9000	-0.01953
9.0000	-0.02441
9.1000	-0.01953
9.2000	-0.02441
9.3000	-0.01953
9.4000	-0.02441
9.5000	-0.01953
9.6000	-0.02441
9.7000	-0.02930
9.8000	-0.02441
9.9000	-0.02930
10.0000	-0.02441
10.1000	-0.01953
10.2000	-0.02441
10.3000	-0.01953
10.4000	-0.02441
10.5000	-0.01953
10.6000	-0.02441
10.7000	-0.02930
10.8000	-0.02441
10.9000	-0.01953
11.0000	-0.02441
11.1000	-0.01953
11.2000	-0.02441
11.3000	-0.01953
11.4000	-0.02441
11.5000	-0.02930
11.6000	-0.02441
11.7000	-0.01953
11.8000	-0.02441
11.9000	-0.02930
12.0000	-0.02441
12.1000	-0.01953
12.2000	-0.02441
12.3000	-0.01953
12.4000	-0.02441
12.5000	-0.01953
12.6000	-0.02441
12.7000	-0.01953
12.8000	-0.02441
12.9000	-0.01953
13.0000	-0.02441
13.1000	-0.01953
13.2000	-0.01953
13.3000	-0.01953
13.4000	-0.02441
13.5000	-0.01953
13.6000	-0.02441
13.7000	-0.01953
13.8000	-0.02441
13.9000	-0.01953
14.0000	-0.02441
14.1000	-0.01953
14.2000	-0.02441
14.3000	-0.01953
14.4000	-0.02441
14.5000	-0.01953
14.6000	-0.02441
14.7000	-0.01953
14.8000	-0.02441
14.9000	-0.01953
15.0000	-0.02441
15.1000	-0.01953
15.2000	-0.01953
15.3000	-0.01953
15.4000	-0.02441
15.5000	-0.01953
15.6000	-0.02441
15.7000	-0.01953
15.8000	-0.02441
15.9000	-0.01953
16.0000	-0.02441
16.1000	-0.01953
16.2000	-0.02441
16.3000	-0.01953
16.4000	-0.02441
16.5000	-0.01953
16.6000	-0.02441
16.7000	-0.01953
16.8000	-0.02441
16.9000	-0.02930
17.0000	-0.02441
17.1000	-0.01953
17.2000	-0.02441
17.3000	-0.01953
17.4000	-0.02441
17.5000	-0.01953
17.6000	-0.02441
17.7000	-0.01953
17.8000	-0.02441
17.9000	-0.02930
18.0000	-0.02441
18.1000	-0.01953
18.2000	-0.02441
18.3000	-0.01953
18.4000	-0.02441
18.5000	-0.01953
18.6000	-0.02441
18.7000	-0.01953
18.8000	-0.02441
18.9000	-0.01953
19.0000	-0.02441
19.1000	-0.01953
19.2000	-0.02441
19.3000	-0.01953
19.4000	-0.02441
19.5000	-0.01953
19.6000	-0.02441
19.7000	-0.01953
19.8000	-0.02441
19.9000	-0.01953
20.0000	-0.02441
20.1000	-0.01953
20.2000	-0.02441
20.3000	-0.01953
20.4000	-0.02441
20.5000	-0.01953
20.6000	-0.02441
20.7000	-0.01953
20.8000	-0.02441
20.9000	-0.01953
21.0000	-0.02441
21.1000	-0.01953
21.2000	-0.02441
21.3000	-0.01953
21.4000	-0.02441
21.5000	-0.01953
21.6000	-0.02441
21.7000	-0.01953
21.8000	-0.02441
21.9000	-0.01953
22.0000	-0.02441
22.1000	-0.01953
22.2000	0.26368
22.3000	0.57619
22.4000	0.75198
22.5000	0.72268
22.6000	0.70803
22.7000	0.69338
22.8000	0.68361
22.9000	0.68361
23.0000	0.67873
23.1000	0.68361
23.2000	0.67873
23.3000	0.68361
23.4000	0.67873
23.5000	0.68361
23.6000	0.67873
23.7000	0.68361
23.8000	0.67873
23.9000	0.68361
24.0000	0.67873
24.1000	0.68361
24.2000	0.69826
24.3000	0.70315
24.4000	0.69826
24.5000	0.68850
24.6000	0.68850
24.7000	0.68361
24.8000	0.68361
24.9000	0.68361
25.0000	0.69338
25.1000	0.68361
25.2000	0.72756
25.3000	0.76174
25.4000	0.75686
25.5000	0.74221
25.6000	0.74709
25.7000	0.73733
25.8000	0.74221
25.9000	0.72756
26.0000	0.73244
26.1000	0.72756
26.2000	0.72756
26.3000	0.72268
26.4000	0.71780
26.5000	0.72268
26.6000	0.71291
26.7000	0.70315
26.8000	0.70803
26.9000	0.70315
27.0000	0.71780
27.1000	0.72268
27.2000	0.72756
27.3000	0.72268
27.4000	0.72756
27.5000	0.72268
27.6000	0.81057
27.7000	0.76174
27.8000	0.76662
27.9000	0.76662
28.0000	0.75198
28.1000	0.76662
28.2000	0.77151
28.3000	0.76174
28.4000	0.76662
28.5000	0.79104
28.6000	0.76662
28.7000	0.76174
28.8000	0.76662
28.9000	0.76174
29.0000	0.75686
29.1000	0.78616
29.2000	0.88870
29.3000	0.85940
29.4000	0.86917
29.5000	0.85940
29.6000	0.85940
29.7000	0.85940
29.8000	0.86917
29.9000	0.85940
30.0000	0.86428
30.1000	0.85940
30.2000	0.85940
30.3000	0.85940
30.4000	0.85452
30.5000	0.85940
30.6000	0.85940
30.7000	0.86428
30.8000	0.86917
30.9000	0.84964
31.0000	0.84964
31.1000	0.85940
31.2000	0.85940
31.3000	0.85940
31.4000	0.85452
31.5000	0.85940
31.6000	0.86428
31.7000	0.85940
31.8000	0.85940
31.9000	0.85940
32.0000	0.86428
32.1000	0.85940
32.2000	0.85452
32.3000	0.85940
32.4000	0.85452
32.5000	0.84475
32.6000	0.85940
32.7000	0.85940
32.8000	0.85940
32.9000	0.85940
33.0000	0.85452
33.1000	0.85940
33.2000	0.85940
33.3000	0.85940
33.4000	0.86428
33.5000	0.85940
33.6000	0.86917
33.7000	0.86428
33.8000	0.86917
33.9000	0.85940
34.0000	0.85940
34.1000	0.85940
34.2000	0.85940
34.3000	0.85940
34.4000	0.86917
34.5000	0.86428
34.6000	0.86917
34.7000	0.86428
34.8000	0.85940
34.9000	0.85940
35.0000	0.85940
35.1000	0.85940
35.2000	0.85940
35.3000	0.85940
35.4000	0.86428
35.5000	0.86428
35.6000	0.86428
35.7000	0.85940
35.8000	0.86428
35.9000	0.85940
36.0000	0.86428
36.1000	0.85940
36.2000	0.86917
36.3000	0.85940
36.4000	0.86428
36.5000	0.85940
36.6000	0.86428
36.7000	0.85940
36.8000	0.86917
36.9000	0.86917
37.0000	0.86917
37.1000	0.86428
37.2000	0.86917
37.3000	0.85940
37.4000	0.86917
37.5000	0.86428
37.6000	0.87405
37.7000	0.87893
37.8000	0.87405
37.9000	0.86917
38.0000	0.87405
38.1000	0.86917
38.2000	0.86917
38.3000	0.85940
38.4000	0.86917
38.5000	0.86428
38.6000	0.86917
38.7000	0.86428
38.8000	0.87405
38.9000	0.86917
39.0000	0.86917
39.1000	0.86917
39.2000	0.86917
39.3000	0.86428
39.4000	0.86917
39.5000	0.86428
39.6000	0.86917
39.7000	0.86428
39.8000	0.86917
39.9000	0.85940
40.0000	0.86428
40.1000	0.85940
